company,location,description
"Shape (ShapeScale)San Francisco, CA, USA",ShapeScale is a personal 3D scanner and fitness tracker that…,SUMMER 2015
"RedCarpetUpGurugram, HR, India",Credit cards for Indians that banks cannot see,SUMMER 2015
"Plate IQNew York, NY, USA",Automated Accounts Payable,SUMMER 2015
"PickTraceLos Angeles, CA, USA",Workforce Management for Large Farms,SUMMER 2015
"FountainSan Francisco, CA, USA",High volume hiring made simple,SUMMER 2015
"MicrohealthNew York, NY, USA",Digital hematology,SUMMER 2015
"ZeplinSan Francisco, CA, USA",Deliver on the Promise of Design,SUMMER 2015
"MarkhorSan Francisco, CA, USA",Markhor is a DTC company that works with craftsmen to make shoes and…,SUMMER 2015
Circle Medical,Modern primary care via video and in-person,SUMMER 2015
"GiveCampusWashington, DC, USA",The fundraising platform for schools.,SUMMER 2015
"Drip CapitalMH, India",Digital trade finance and B2B commerce company,SUMMER 2015
"ChaldalDhaka, Dhaka Division, Bangladesh",SUMMER 2015,CONSUMER
"ClerkyPalo Alto, CA, USA",Makes legal paperwork easy for startups and their attorneys.,SUMMER 2011
"BodyportSan Francisco, CA, USA",Predicting and preventing heart disease.,SUMMER 2015
Verge Genomics,We use human data and AI to develop better drugs faster.,SUMMER 2015
"Thrive AgritechNew York, NY, USA",We design and manufacture energy efficient LED lighting fixtures for…,SUMMER 2015
"TesorioSan Francisco, CA, USA",Tesorio is the cash flow performance platform that helps finance…,SUMMER 2015
"AgileMDSan Francisco, CA, USA",Predictive analytics and clinical pathways for hospitals,SUMMER 2011
"ReachRedwood City, CA, USA","Long range, wireless energy distribution that scales",SUMMER 2015
"SunFarmerKathmandu, Central Development Region, Nepal",Reliable and affordable solar energy in developing countries.,SUMMER 2015
"Confident LIMSPalo Alto, CA, USA",Laboratory Information Management System (LIMS) serving…,SUMMER 2015
"Branch8Kowloon, Hong Kong",Branch8 helps sellers to list and manage products on e-commerce…,SUMMER 2015
"Heroic LabsLondon, England, United Kingdom","Social Infrastructure for Games; Makers of Nakama game server, Satori…",SUMMER 2015
"SnapMagicSan Francisco, CA, USA",AI copilot for electronics design,SUMMER 2015
"Scope ARSan Francisco, CA, USA",Scope AR is the leading provider of User Guided Augmented Reality…,SUMMER 2015
"PartnerStackToronto, ON, Canada",PartnerStack is a full stack solution for partnerships.,SUMMER 2015
"AssemblySouth San Francisco, CA, USA",Advanced manufacturing and distribution solutions (for China-based…,SUMMER 2015
"GemnoteSan Leandro, CA, USA","Gemnote is the easiest way to design, create and send custom products.",SUMMER 2015
"New StoryAtlanta, GA, USA",We pioneer solutions to end the global housing crisis by empowering…,SUMMER 2015
"IroncladSan Francisco, CA, USA",AI-powered contract management,SUMMER 2015
"Leaders In TechSan Francisco, CA, USA",Become the leader your company needs.,SUMMER 2015
"teaBOTToronto, ON, Canada",A robot that makes tea!,SUMMER 2015
"TeleportOakland, CA, USA",The Infrastructure Identity Company,SUMMER 2015
"LuggSan Francisco, CA, USA","Move anything, anytime, anywhere",SUMMER 2015
"ShasqiSan Francisco, CA, USA",Targeting Cancer with Click Chemistry,WINTER 2015
